x,predicted,std.error,conf.low,conf.high,group,resp,subset,predictor,percent_change
-1.5,23.36957304,0.475686028,22.41459349,24.32455259,1,rarefied_richness,all,PC2,..
-1,23.37074952,0.395748608,22.57625104,24.16524801,1,rarefied_richness,all,PC2,..
-0.5,23.371926,0.350693334,22.66787976,24.07597225,1,rarefied_richness,all,PC2,..
0,23.37310248,0.35409569,22.66222572,24.08397924,1,rarefied_richness,all,PC2,..
0.5,23.37427896,0.404735458,22.56173863,24.1868193,1,rarefied_richness,all,PC2,..
1,23.37545545,0.48812592,22.39550177,24.35540912,1,rarefied_richness,all,PC2,..
1.5,23.37663193,0.590552391,22.19104853,24.56221532,1,rarefied_richness,all,PC2,..
2,23.37780841,0.703751682,21.96496795,24.79064886,1,rarefied_richness,all,PC2,..
2.5,23.37898489,0.823292064,21.7261571,25.03181267,1,rarefied_richness,all,PC2,..
3,23.38016137,0.946774685,21.47943188,25.28089086,1,rarefied_richness,all,PC2,..
3.5,23.38133785,1.072839167,21.22752335,25.53515235,1,rarefied_richness,all,PC2,..
4,23.38251433,1.200672536,20.97206363,25.79296503,1,rarefied_richness,all,PC2,..
-3.5,14.50225039,0.55420743,13.38963255,15.61486823,1,rarefied_richness,rf,PC2,2.865133329
-3,14.52995098,0.480867465,13.56456926,15.4953327,1,rarefied_richness,rf,PC2,..
-2.5,14.55765157,0.410018065,13.73450595,15.38079718,1,rarefied_richness,rf,PC2,..
-2,14.58535215,0.343205125,13.89633911,15.27436519,1,rarefied_richness,rf,PC2,..
-1.5,14.61305274,0.283299052,14.04430616,15.18179932,1,rarefied_richness,rf,PC2,..
-1,14.64075333,0.235628093,14.16771019,15.11379646,1,rarefied_richness,rf,PC2,..
-0.5,14.66845392,0.208749836,14.24937113,15.0875367,1,rarefied_richness,rf,PC2,..
0,14.6961545,0.210774857,14.27300632,15.11930269,1,rarefied_richness,rf,PC2,..
0.5,14.72385509,0.240975595,14.2400764,15.20763378,1,rarefied_richness,rf,PC2,..
1,14.75155568,0.290699302,14.16795248,15.33515888,1,rarefied_richness,rf,PC2,..
1.5,14.77925626,0.35176211,14.07306436,15.48544817,1,rarefied_richness,rf,PC2,..
2,14.80695685,0.419238274,13.9653009,15.64861281,1,rarefied_richness,rf,PC2,..
2.5,14.83465744,0.490488051,13.84996159,15.81935329,1,rarefied_richness,rf,PC2,..
3,14.86235803,0.564083307,13.72991353,15.99480252,1,rarefied_richness,rf,PC2,..
3.5,14.89005861,0.639214422,13.60678212,16.17333511,1,rarefied_richness,rf,PC2,..
4,14.9177592,0.71539767,13.48153845,16.35397995,1,rarefied_richness,rf,PC2,..
-3.5,2.316105481,0.187869052,1.938942622,2.69326834,1,rarefied_richness,oc,PC2,-10.22947584
-3,2.300310451,0.162404021,1.974270775,2.626350127,1,rarefied_richness,oc,PC2,..
-2.5,2.284515421,0.13767743,2.008116448,2.560914395,1,rarefied_richness,oc,PC2,..
-2,2.268720391,0.114170078,2.039514395,2.497926388,1,rarefied_richness,oc,PC2,..
-1.5,2.252925361,0.092813051,2.066595387,2.439255335,1,rarefied_richness,oc,PC2,..
-1,2.237130331,0.075454896,2.085648307,2.388612355,1,rarefied_richness,oc,PC2,..
-0.5,2.221335301,0.065363167,2.090113267,2.352557335,1,rarefied_richness,oc,PC2,..
0,2.205540271,0.065961878,2.073116275,2.337964267,1,rarefied_richness,oc,PC2,..
0.5,2.189745241,0.077002068,2.035157139,2.344333343,1,rarefied_richness,oc,PC2,..
1,2.173950211,0.094907276,1.983415904,2.364484517,1,rarefied_richness,oc,PC2,..
1.5,2.158155181,0.11655551,1.924160231,2.392150131,1,rarefied_richness,oc,PC2,..
2,2.142360151,0.140223772,1.860849182,2.42387112,1,rarefied_richness,oc,PC2,..
2.5,2.126565121,0.165045294,1.795222868,2.457907373,1,rarefied_richness,oc,PC2,..
3,2.110770091,0.190569974,1.728184904,2.493355278,1,rarefied_richness,oc,PC2,..
3.5,2.094975061,0.216549312,1.660234177,2.529715945,1,rarefied_richness,oc,PC2,..
4,2.079180031,0.24283743,1.591663547,2.566696514,1,rarefied_richness,oc,PC2,..
