"","Var1","Var2","bcdist","Fragment","timediff","dat_subset","resp","dPC1","dPC2","dPC3","dPC4","Area_m2","Perimeter_m","Shape_fractalD"
"90",2000,2019,0.476692322621079,"Varatuparai4",19,"oc","composition",-3.89193846895657,1.94449244572529,2.36896990502968,0.153588887217411,38500,1676.2152,1.14373230429723
"91",2000,2005,0.110750612495032,"Akkamalai_Iyerpadi",5,"rr","composition",-0.130795200890587,-0.170329324258964,0.65599109343934,-0.688653756556229,43099800,136575.6259,1.18758999323785
"92",2000,2019,0.193424522236965,"Akkamalai_Iyerpadi",19,"rr","composition",0.803038974611878,1.05841207431343,-0.445577925581585,-0.825332999309113,43099800,136575.6259,1.18758999323785
"93",2005,2019,0.147907150065049,"Akkamalai_Iyerpadi",14,"rr","composition",0.933834175502465,1.2287413985724,-1.10156901902092,-0.136679242752884,43099800,136575.6259,1.18758999323785
"94",2000,2005,0.153934128817903,"Andiparai",5,"rr","composition",-0.0105008665693564,-0.0179251196346839,-0.0143100155828229,0.0753203782196076,3270000,16621.0744,1.11092872124682
"95",2000,2019,0.29718856810568,"Andiparai",19,"rr","composition",-0.638735622238606,1.60430559282083,-0.320649242206742,1.55035436196011,3270000,16621.0744,1.11092872124682
"96",2005,2019,0.219929424556961,"Andiparai",14,"rr","composition",-0.62823475566925,1.62223071245551,-0.306339226623919,1.4750339837405,3270000,16621.0744,1.11092872124682
"97",2005,2019,0.302995872261591,"Injiparai",14,"rr","composition",-1.07845739405442,0.843005157278146,-2.22223409489144,-0.444128596218134,189800,2290.384,1.04497671260108
"98",2000,2019,0.275697620763317,"Karian-Shola",19,"rr","composition",3.25458908188786,0.494183769911858,-0.04785166771545,0.0863972489878338,8542700,22397.7708,1.08146673914852
"99",2000,2005,0.280475497885712,"Korangamudi",5,"rr","composition",-2.51832317435146,0.724913983167402,0.697914250230504,-2.5047239855752,733200,4665.1673,1.04575990232253
"100",2000,2019,0.331288795503894,"Korangamudi",19,"rr","composition",-2.92621021300697,3.0326661701744,-0.340412167317019,-2.44171395855353,733200,4665.1673,1.04575990232253
"101",2005,2019,0.238488037478289,"Korangamudi",14,"rr","composition",-0.407887038655508,2.307752187007,-1.03832641754752,0.0630100270216734,733200,4665.1673,1.04575990232253
"102",2000,2005,0.157786598150209,"Manamboly",5,"rr","composition",1.10102371804471,-0.125726425271847,-0.398725402563555,-0.113205439559048,1749500,11653.4501,1.1098645789596
"103",2000,2019,0.148467869052272,"Manamboly",19,"rr","composition",0.859005496429406,1.21681083680209,-2.00872440323342,-0.419831851273453,1749500,11653.4501,1.1098645789596
"104",2005,2019,0.190738143097072,"Manamboly",14,"rr","composition",-0.242018221615299,1.34253726207393,-1.60999900066986,-0.306626411714405,1749500,11653.4501,1.1098645789596
"105",2000,2005,0.205662379339386,"OldValparai",5,"rr","composition",-0.946452999001499,0.13877536658317,0.49453219949488,-0.15013009992545,413100,4504.4459,1.0867348264868
"106",2000,2019,0.201645704068014,"OldValparai",19,"rr","composition",-0.673366715621148,1.50826413792788,-1.27679471969547,0.564630526906708,413100,4504.4459,1.0867348264868
"107",2005,2019,0.168548105269818,"OldValparai",14,"rr","composition",0.273086283380351,1.36948877134471,-1.77132691919035,0.714760626832158,413100,4504.4459,1.0867348264868
"108",2000,2005,0.101465085041653,"Pannimade",5,"rr","composition",-1.92532633953886,-1.01415205223362,1.0942654343118,-1.59835464948442,921300,7447.913,1.09649722230686
"109",2000,2019,0.260320065429334,"Pannimade",19,"rr","composition",-1.76622502714391,0.575586387394611,-0.143552693519736,0.617252767013808,921300,7447.913,1.09649722230686
"110",2005,2019,0.263073358224954,"Pannimade",14,"rr","composition",0.159101312394954,1.58973843962823,-1.23781812783154,2.21560741649823,921300,7447.913,1.09649722230686
"111",2000,2005,0.19884306047489,"Puduthottam",5,"rr","composition",-0.928923809699407,1.78800342968089,0.755827201955262,0.250934125344481,1130800,6052.1937,1.0506030618116
"112",2000,2019,0.281915829867219,"Puduthottam",19,"rr","composition",-0.701527512281893,5.15666356127337,-1.46222210558325,-0.17802364783599,1130800,6052.1937,1.0506030618116
"113",2005,2019,0.23756387416457,"Puduthottam",14,"rr","composition",0.227396297417514,3.36866013159248,-2.21804930753852,-0.428957773180471,1130800,6052.1937,1.0506030618116
"114",2000,2019,0.353009823430357,"Selaliparai1",19,"rr","composition",-1.73171156684704,0.826526341013504,-0.950401236475166,-2.42575288227145,22200,936.4225,1.09029886105024
"115",2000,2019,0.359935326190707,"Selaliparai2",19,"rr","composition",1.4502821969993,0.161162952433869,-1.58186140468619,1.38363299442955,6700,359.7341,1.02137136200681
"116",2000,2019,0.211061818665626,"Varagaliar",19,"rr","composition",-1.13744396041573,4.19936385774775,1.93750295761465,0.357918808094953,14110900,43267.566,1.12849055214815
"117",2000,2005,0.204117471783463,"Varatuparai123",5,"rr","composition",-0.146870147927688,0.805910800862136,0.8423357886654,0.635872387575631,125200,2744.1716,1.11281735148559
"118",2000,2019,0.390197424451297,"Varatuparai123",19,"rr","composition",-1.01431290054961,2.1464390717073,1.37080578164157,1.52407588777635,125200,2744.1716,1.11281735148559
"119",2005,2019,0.326144080942079,"Varatuparai123",14,"rr","composition",-0.867442752621924,1.34052827084517,0.528469992976168,0.888203500200719,125200,2744.1716,1.11281735148559
"120",2000,2019,0.550358315637995,"Varatuparai4",19,"rr","composition",-3.89193846895657,1.94449244572529,2.36896990502968,0.153588887217411,38500,1676.2152,1.14373230429723
"121",2000,2005,NA,"Injiparai",NA,NA,NA,-0.0930349155802634,1.11600388930259,0.986854007972569,0.0487408232035828,189800,2290.384,1.04497671260108
"122",2000,2019,NA,"Injiparai",NA,NA,NA,-1.17149230963468,1.95900904658074,-1.23538008691887,-0.395387773014551,189800,2290.384,1.04497671260108
